PropertyUrl,ID,Street,HouseNumber,Box,Floor,City,PostalCode,Region,District,Province,PropertyType,PropertySubType,Price,SaleType,ConstructionYear,BedroomCount,LivingArea,KitchenType,Furnished,Fireplace,Terrace,TerraceArea,Garden,GardenArea,Facades,SwimmingPool,Condition,EPCScore,Latitude,Longitude
,11135516,Akkerstraat,63,103,1,Gent,9000,FLANDERS,Gent,East Flanders,APARTMENT,APARTMENT,346500,residential_sale,2018,1,88,USA_HYPER_EQUIPPED,True,False,True,22,,,2,False,AS_NEW,A,51.0551773,3.7106841
,11136533,Ridder Walter Van Havrelaan,118, 3,1,Schoten,2900,FLANDERS,Antwerp,Antwerp,APARTMENT,APARTMENT,295000,residential_sale,1997,2,110,INSTALLED,,True,True,6,,,2,,GOOD,B,51.2529292,4.488696
,11136327,Grand-Route,76A, 22,2,OMBRET-RAWSA,4540,WALLONIE,Huy,Liège,APARTMENT,APARTMENT,219000,residential_sale,2015,2,104,INSTALLED,,True,True,5,,,4,,GOOD,B,50.5442744,5.3382176
,10979572,Dorpskring,11, A,2,LUBBEEK,3210,FLANDERS,Leuven,Flemish Brabant,APARTMENT,APARTMENT,270000,residential_sale,1980,3,142,INSTALLED,,False,,,,,3,,GOOD,B,50.8819375,4.8412255
,11136340,Dambruggestraat,58,,2,Antwerp,2060,FLANDERS,Antwerp,Antwerp,APARTMENT,APARTMENT,205000,residential_sale,1950,1,62,USA_INSTALLED,,True,,,,,2,,JUST_RENOVATED,B,51.2203616,4.4233121
,11135758,Avenue van overbeke,212,,13,Ganshoren,1083,BRUSSELS,Brussels,Brussels,APARTMENT,APARTMENT,179000,residential_sale,1967,2,75,SEMI_EQUIPPED,False,False,True,18,,,2,False,TO_RENOVATE,D,50.877563,4.3066813
,11136002,Molenstraat,50, 301,2,EINE,9700,FLANDERS,Oudenaarde,East Flanders,APARTMENT,APARTMENT,174000,residential_sale,2007,2,70,SEMI_EQUIPPED,,True,,,,,2,,GOOD,C,50.8726939,3.6160362
,11150504,Rue Defacqz,113,,7,Saint-Gilles,1060,BRUSSELS,Brussels,Brussels,APARTMENT,APARTMENT,975000,residential_sale,2005,3,220,HYPER_EQUIPPED,False,False,True,25,,,2,False,AS_NEW,C,50.8263694,4.3559586
,11147534,Leopoldlaan,12,3C,3,Knokke-Heist,8300,FLANDERS,Brugge,West Flanders,APARTMENT,APARTMENT,1015000,residential_sale,1992,3,108,USA_HYPER_EQUIPPED,False,False,True,8,,,2,False,JUST_RENOVATED,B,51.347178,3.2873551
,11145842,Kapelstraat,193,,1,Bredene,8450,FLANDERS,Oostend,West Flanders,APARTMENT,APARTMENT,545000,residential_sale,2019,2,119,HYPER_EQUIPPED,,False,,,,,,,GOOD,A,51.2519935,2.9755725
,11050812,Belgiëlei,75A,,5,Antwerp,2018,FLANDERS,Antwerp,Antwerp,APARTMENT,APARTMENT,249900,residential_sale,1965,2,78,INSTALLED,False,False,,,,,,False,AS_NEW,B,51.2064545,4.4198789
,11150282,Duinenwater,"4,87",,8,Knokke-Heist,8300,FLANDERS,Brugge,West Flanders,APARTMENT,APARTMENT,1250000,residential_sale,2023,3,140,USA_HYPER_EQUIPPED,False,False,True,55,,,2,False,AS_NEW,,51.3395163,3.2742775
,11133918,Galerie du Commerce,"6,5.10",,5,Bruxelles,1000,BRUSSELS,Brussels,Brussels,APARTMENT,APARTMENT,265000,residential_sale,2013,1,63,USA_HYPER_EQUIPPED,,False,True,7,,,4,False,GOOD,C,50.8510449,4.3553982
,11133706,Akkerstraat,63,203,2,Gent,9000,FLANDERS,Gent,East Flanders,APARTMENT,APARTMENT,356500,residential_sale,2018,1,91,USA_HYPER_EQUIPPED,True,False,True,16,,,2,False,AS_NEW,A,51.0551773,3.7106841
,11134766,Deurnestraat,164, 12,5,Mortsel,2640,FLANDERS,Antwerp,Antwerp,APARTMENT,APARTMENT,299000,residential_sale,1976,3,140,SEMI_EQUIPPED,,True,,,,,,,TO_BE_DONE_UP,D,51.1791165,4.4467052
,11143837,Molenstraat,"2,13",,1,Liedekerke,1770,FLANDERS,Halle-Vilvoorde,Flemish Brabant,APARTMENT,DUPLEX,319000,residential_sale,2021,2,100,USA_HYPER_EQUIPPED,False,False,True,3,,,,False,AS_NEW,A,50.8714373,4.0854996
,11144611,Jan De Graefstraat,19, 3,2,Berchem,2600,FLANDERS,Antwerp,Antwerp,APARTMENT,APARTMENT,215000,residential_sale,1971,2,89,SEMI_EQUIPPED,,True,,,,,3,,GOOD,C,51.1907223,4.4421494
,11144782,Vredegerechtstraat,23, W4,1,LOKEREN,9160,FLANDERS,Sint-Niklaas,East Flanders,APARTMENT,APARTMENT,168000,residential_sale,1967,2,83,SEMI_EQUIPPED,,False,,,,,2,,GOOD,C,51.1123818,3.9823993
,11144661,Michel Willemslaan,110, 2v,2,WILRIJK,2610,FLANDERS,Antwerp,Antwerp,APARTMENT,APARTMENT,149000,residential_sale,1930,1,56,INSTALLED,,False,,,,,,,AS_NEW,C,51.1814436,4.3750415
,11146263,Avenue de Selliers de Moranville,31,,1,BERCHEM-SAINTE-AGATHE,1082,BRUSSELS,Brussels,Brussels,APARTMENT,APARTMENT,280000,residential_sale,2023,1,71,USA_HYPER_EQUIPPED,,False,True,7,,,3,False,AS_NEW,B,50.868523,4.2911622
,11140559,Avenue du Globe,55,,4,Forest,1190,BRUSSELS,Brussels,Brussels,APARTMENT,APARTMENT,270000,residential_sale,1965,2,92,INSTALLED,,False,True,4,,,,False,AS_NEW,E,50.8075484,4.3258636
,11143849,Avenue de Tervueren,249,,5,Woluwe-Saint-Pierre,1150,BRUSSELS,Brussels,Brussels,APARTMENT,APARTMENT,739000,residential_sale,2024,3,135,USA_HYPER_EQUIPPED,False,False,True,10,,,2,True,AS_NEW,B,50.8358174,4.4133345
,11146265,Avenue de Selliers de Moranville,31,,3,BERCHEM-SAINTE-AGATHE,1082,BRUSSELS,Brussels,Brussels,APARTMENT,APARTMENT,480000,residential_sale,2023,4,121,USA_HYPER_EQUIPPED,,False,True,25,,,3,False,AS_NEW,B,50.868523,4.2911622
,11156616,Heiveldstraat,237,,1,Gent Sint-Amandsberg,9040,FLANDERS,Gent,East Flanders,APARTMENT,APARTMENT,385000,residential_sale,1979,2,126,INSTALLED,False,False,True,12,,,3,False,JUST_RENOVATED,B,51.0649028,3.7612397
,11154067,Zeedijk,34,,9,Middelkerke,8430,FLANDERS,Oostend,West Flanders,APARTMENT,APARTMENT,450000,residential_sale,1976,2,80,INSTALLED,False,False,True,10,,,2,False,AS_NEW,B,51.1913512,2.8228685
,11140636,Venelle Bleue,14,,5,Woluwe-Saint-Pierre,1150,BRUSSELS,Brussels,Brussels,APARTMENT,APARTMENT,195000,residential_sale,1977,1,53,HYPER_EQUIPPED,False,False,True,4,,,,False,AS_NEW,E,50.8334543,4.4421338
,11133606,Meir,"7, 2.7",,2,ANTWERPEN 2000,2000,FLANDERS,Antwerp,Antwerp,APARTMENT,APARTMENT,745000,residential_sale,2004,2,180,HYPER_EQUIPPED,,True,True,35,,,,,GOOD,A,51.2180888,4.4091154
,11150795,Duinenwater,"4,77",,7,Knokke-Heist,8300,FLANDERS,Brugge,West Flanders,APARTMENT,APARTMENT,1195000,residential_sale,2023,3,140,USA_HYPER_EQUIPPED,False,False,True,42,,,2,False,AS_NEW,,51.3395163,3.2742775
,11136015,Tolpoortstraat,40,,6,Deinze,9800,FLANDERS,Gent,East Flanders,APARTMENT,PENTHOUSE,400000,residential_sale,2022,2,85,HYPER_EQUIPPED,False,False,True,28,,,2,False,AS_NEW,A,50.9823065,3.5305868
,11153114,Avenue de la Basilique,377,,5,Koekelberg,1081,BRUSSELS,Brussels,Brussels,APARTMENT,APARTMENT,260000,residential_sale,1966,2,106,,False,False,True,,,,2,False,TO_RENOVATE,D,50.8658653,4.3135625
,11136017,Tolpoortstraat,40,,5,Deinze,9800,FLANDERS,Gent,East Flanders,APARTMENT,APARTMENT,395000,residential_sale,2022,2,99,HYPER_EQUIPPED,False,False,True,12,,,2,False,AS_NEW,A,50.9823065,3.5305868
,11135393,Avenue Henri Elleboudt,"9,5",,3,Uccle,1180,BRUSSELS,Brussels,Brussels,APARTMENT,PENTHOUSE,850000,residential_sale,1978,5,195,HYPER_EQUIPPED,False,False,True,17,,,3,False,AS_NEW,F,50.8048118,4.346994
,11136014,Tolpoortstraat,40,,6,Deinze,9800,FLANDERS,Gent,East Flanders,APARTMENT,PENTHOUSE,375000,residential_sale,2022,2,82,HYPER_EQUIPPED,False,False,True,28,,,2,False,AS_NEW,A,50.9823065,3.5305868
,11136016,Tolpoortstraat,40,,6,Deinze,9800,FLANDERS,Gent,East Flanders,APARTMENT,APARTMENT,270000,residential_sale,2022,1,61,HYPER_EQUIPPED,False,False,True,10,,,2,False,AS_NEW,A,50.9823065,3.5305868
,11140876,Egmont Park,11,,3,Gavere,9890,FLANDERS,Gent,East Flanders,APARTMENT,APARTMENT,279200,residential_sale,2021,1,76,HYPER_EQUIPPED,False,False,True,11,,,4,False,AS_NEW,,50.9284071,3.679605
,11146193,Avenue de Tervueren,13,,4,Woluwe-Saint-Lambert,1200,BRUSSELS,Brussels,Brussels,APARTMENT,PENTHOUSE,1150000,residential_sale,1912,3,198,USA_HYPER_EQUIPPED,False,False,True,18,,,3,False,AS_NEW,B,50.8389025,4.3986498
