,PropertyUrl,ID,Street,HouseNumber,Box,Floor,City,PostalCode,Region,District,Province,PropertyType,PropertySubType,Price,SaleType,ConstructionYear,BedroomCount,LivingArea,KitchenType,Furnished,Fireplace,Terrace,TerraceArea,Garden,GardenArea,Facades,SwimmingPool,Condition,EPCScore,Latitude,Longitude
121,,11108163,Steenweg naar Oudegem,101,,,Gijzegem,9308,FLANDERS,Aalst,East Flanders,HOUSE,HOUSE,369000,residential_sale,1930.0,3,217,INSTALLED,False,False,True,,,2322.0,3.0,False,TO_BE_DONE_UP,F,50.98266,4.0496187
122,,11140955,Opgeëistenstraat,91,,,Ronse,9600,FLANDERS,Oudenaarde,East Flanders,HOUSE,HOUSE,109000,residential_sale,1925.0,3,137,SEMI_EQUIPPED,False,False,,,True,110.0,2.0,False,TO_RENOVATE,F,50.7528328,3.5917846
123,,11155492,Adegemstraat,38,,,Mechelen,2800,FLANDERS,Mechelen,Antwerp,HOUSE,HOUSE,299000,residential_sale,1919.0,7,300,SEMI_EQUIPPED,,False,,,,111.0,,,TO_RENOVATE,E,51.0259311,4.4753163
124,,11136541,Chaussee d'Alsemberg,92,,,Braine-l'Alleud,1420,WALLONIE,Nivelles,Walloon Brabant,HOUSE,APARTMENT_BLOCK,420000,residential_sale,1930.0,3,195,SEMI_EQUIPPED,False,False,True,6.0,True,290.0,2.0,False,GOOD,D,50.6872132,4.369077
125,,11125957,David Teniersstraat,6,,,Ronse,9600,FLANDERS,Oudenaarde,East Flanders,HOUSE,HOUSE,119000,residential_sale,1930.0,3,126,SEMI_EQUIPPED,False,False,True,8.0,True,230.0,2.0,False,TO_RENOVATE,F,50.7410728,3.6009276
126,,11154498,Avenue Eugène Plasky,165,,,SCHAERBEEK,1030,BRUSSELS,Brussels,Brussels,HOUSE,HOUSE,648000,residential_sale,1939.0,4,240,INSTALLED,,True,True,20.0,True,165.0,,,TO_BE_DONE_UP,F,50.8530034,4.3977122
127,,11155385,Reigerput,13,,,Beveren-Leie,8791,FLANDERS,Kortrijk,West Flanders,HOUSE,VILLA,445000,residential_sale,1985.0,3,145,INSTALLED,,False,,,True,534.0,,,AS_NEW,C,50.865792,3.3489764
128,,10820901,Rue de Trisogne,15,D,,Ciney,5590,WALLONIE,Dinant,Namur,HOUSE,VILLA,370000,residential_sale,2023.0,4,191,NOT_INSTALLED,False,False,True,,,736.0,3.0,,AS_NEW,A,50.28186,5.1678391
129,,11154497,Avenue Eugène Plasky,165,,,SCHAERBEEK,1030,BRUSSELS,Brussels,Brussels,HOUSE,APARTMENT_BLOCK,648000,residential_sale,1939.0,4,240,INSTALLED,,True,True,20.0,True,165.0,,,TO_BE_DONE_UP,F,50.8530034,4.3977122
130,,11136542,Chaussee d'Alsemberg,92,,,Braine-l'Alleud,1420,WALLONIE,Nivelles,Walloon Brabant,HOUSE,HOUSE,420000,residential_sale,1930.0,3,195,SEMI_EQUIPPED,False,False,True,6.0,True,290.0,2.0,False,GOOD,D,50.6872132,4.369077
131,,11136937,Heuvelstraat,41,,,MOERBEKE,9500,FLANDERS,Aalst,East Flanders,HOUSE,HOUSE,259000,residential_sale,1950.0,3,230,SEMI_EQUIPPED,,True,True,,,600.0,4.0,,TO_RENOVATE,C,50.7501937,3.9132423
132,,11136941,Kieverstraat,19,,,Kluisbergen,9690,FLANDERS,Oudenaarde,East Flanders,HOUSE,HOUSE,245000,residential_sale,1962.0,3,185,SEMI_EQUIPPED,,True,True,,,750.0,3.0,,TO_RENOVATE,F,50.7824193,3.5133465
133,,11135894,Rue Large,182,,,NESSONVAUX,4870,WALLONIE,Liège,Liège,HOUSE,HOUSE,199000,residential_sale,1960.0,4,153,INSTALLED,,False,True,8.0,,70.0,2.0,False,AS_NEW,D,50.5728287,5.7373514
134,,11128291,Venelle de Saint-Job,5,,,Uccle,1180,BRUSSELS,Brussels,Brussels,HOUSE,HOUSE,650000,residential_sale,2006.0,4,174,HYPER_EQUIPPED,,False,True,10.0,True,110.0,2.0,False,AS_NEW,C,50.7938001,4.3646187
135,,11129774,Avenue des Boignees,22,,,Braine-le-Chateau,1440,WALLONIE,Nivelles,Walloon Brabant,HOUSE,HOUSE,445000,residential_sale,1973.0,4,161,HYPER_EQUIPPED,False,False,True,68.0,True,1740.0,4.0,False,GOOD,G,50.6779722,4.3002552
