ID,Street,HouseNumber,Box,Floor,City,PostalCode,Region,District,Province,PropertyType,PropertySubType,Price,SaleType,ConstructionYear,BedroomCount,LivingArea,KitchenType,Furnished,Fireplace,Terrace,TerraceArea,Garden,GardenArea,Facades,SwimmingPool,Condition,EPCScore,Latitude,Longitude,PropertyUrl
11044658,Avenue De Fré,110,,4,Uccle,1180,BRUSSELS,Brussels,Brussels,APARTMENT,PENTHOUSE,360000,residential_sale,1967,1,60,USA_HYPER_EQUIPPED,0,0,1,35,,,2,0,AS_NEW,F,50.804026,4.3595997,https://www.immoweb.be/en/classified/penthouse/for-sale/uccle/1180/11044658
11122892,Avenue du Derby,30,,1,Ixelles,1050,BRUSSELS,Brussels,Brussels,APARTMENT,APARTMENT,360000,residential_sale,1960,3,110,SEMI_EQUIPPED,0,0,1,,,,2,0,TO_RENOVATE,D,50.8033802,4.3907252,https://www.immoweb.be/en/classified/apartment/for-sale/ixelles/1050/11122892
11120633,Steenokkerzeelstraat,19, 011,1,Zaventem,1930,FLANDERS,Halle-Vilvoorde,Flemish Brabant,APARTMENT,APARTMENT,359000,residential_sale,2004,2,110,SEMI_EQUIPPED,,1,1,20,,,2,,GOOD,B,50.8850734,4.4776006,https://www.immoweb.be/en/classified/apartment/for-sale/zaventem/1930/11120633
10904151,Avenue Brugmann,167,,1,Forest,1190,BRUSSELS,Brussels,Brussels,APARTMENT,APARTMENT,355000,residential_sale,1910,1,71,SEMI_EQUIPPED,0,0,1,6,,,2,0,JUST_RENOVATED,E,50.8171871,4.3498485,https://www.immoweb.be/en/classified/apartment/for-sale/forest/1190/10904151
11058601,Drève du Parc,45,,1,Bruxelles,1000,BRUSSELS,Brussels,Brussels,APARTMENT,APARTMENT,354000,residential_sale,2025,2,104,USA_INSTALLED,,0,1,9,,,3,0,AS_NEW,A,50.8427501,4.3515499,https://www.immoweb.be/en/classified/apartment/for-sale/bruxelles/1000/11058601
11031553,Rue Du Parnasse - Parnassusstraat,30,,2,Ixelles,1050,BRUSSELS,Brussels,Brussels,APARTMENT,APARTMENT,350000,residential_sale,1920,2,87,USA_HYPER_EQUIPPED,,0,,,,,2,0,AS_NEW,E,50.8381876,4.372052,https://www.immoweb.be/en/classified/apartment/for-sale/ixelles/1050/11031553
11077627,Riddersstraat,"3,301",,3,Leuven,3000,FLANDERS,Leuven,Flemish Brabant,APARTMENT,APARTMENT,349000,residential_sale,2004,2,90,INSTALLED,0,0,1,5,,,2,,AS_NEW,B,50.88472,4.6925,https://www.immoweb.be/en/classified/apartment/for-sale/leuven/3000/11077627
11073716,Amerikalei,80,,5,ANTWERPEN 2000,2000,FLANDERS,Antwerp,Antwerp,APARTMENT,APARTMENT,349000,residential_sale,1988,2,90,INSTALLED,,1,1,3,,,2,,GOOD,C,51.20767,4.3976689,https://www.immoweb.be/en/classified/apartment/for-sale/antwerpen-2000/2000/11073716
11081165,Avenue du Globe,43,,4,Forest,1190,BRUSSELS,Brussels,Brussels,APARTMENT,APARTMENT,349000,residential_sale,1976,2,90,INSTALLED,0,0,1,14,,,,0,AS_NEW,E,50.8092767,4.3245481,https://www.immoweb.be/en/classified/apartment/for-sale/forest/1190/11081165
10916819,Avenue de l'Université,104,,2,Ixelles,1050,BRUSSELS,Brussels,Brussels,APARTMENT,APARTMENT,349000,residential_sale,1953,2,70,HYPER_EQUIPPED,0,0,,,,,2,0,JUST_RENOVATED,D,50.8136861,4.384693,https://www.immoweb.be/en/classified/apartment/for-sale/ixelles/1050/10916819
10966420,Rue Vanderlinden,22,,4,Schaerbeek,1030,BRUSSELS,Brussels,Brussels,APARTMENT,PENTHOUSE,349000,residential_sale,1992,2,190,INSTALLED,0,0,1,16,,,3,0,TO_RENOVATE,G,50.8668734,4.3667292,https://www.immoweb.be/en/classified/penthouse/for-sale/schaerbeek/1030/10966420
11009255,Oude Beurs,58,A,2,Antwerp,2000,FLANDERS,Antwerp,Antwerp,APARTMENT,APARTMENT,425000,residential_sale,2017,2,117,HYPER_EQUIPPED,0,0,,,,,,,AS_NEW,B,51.2214796,4.4021454,https://www.immoweb.be/en/classified/apartment/for-sale/antwerp/2000/11009255
10981993,Avenue Gilbert Mullie,18,,1,Woluwe-Saint-Lambert,1200,BRUSSELS,Brussels,Brussels,APARTMENT,APARTMENT,425000,residential_sale,2004,2,98,HYPER_EQUIPPED,0,0,1,16,,,,0,AS_NEW,C,50.8498081,4.4308017,https://www.immoweb.be/en/classified/apartment/for-sale/woluwe-saint-lambert/1200/10981993
11052449,Rue Bosquet,36,,2,Saint-Gilles,1060,BRUSSELS,Brussels,Brussels,APARTMENT,APARTMENT,420000,residential_sale,1875,3,128,NOT_INSTALLED,0,0,,,,,2,0,TO_RENOVATE,G,50.8332346,4.3545148,https://www.immoweb.be/en/classified/apartment/for-sale/saint-gilles/1060/11052449
10868121,Rue du Pépin,6,,3,Ixelles,1050,BRUSSELS,Brussels,Brussels,APARTMENT,APARTMENT,420000,residential_sale,2004,2,105,USA_HYPER_EQUIPPED,0,0,1,2,,,3,0,GOOD,D,50.8398038,4.3594474,https://www.immoweb.be/en/classified/apartment/for-sale/ixelles/1050/10868121
