ID;Street;HouseNumber;Box;Floor;City;PostalCode;Region;District;Province;PropertyType;PropertySubType;Price;SaleType;ConstructionYear;BedroomCount;LivingArea;KitchenType;Furnished;Fireplace;Terrace;TerraceArea;Garden;GardenArea;Facades;SwimmingPool;Condition;EPCScore;Latitude;Longitude;PropertyUrl;Property url
11156771;Avenue des Combattants;168;;;Genappe Bousval;1470;WALLONIE;Nivelles;Walloon Brabant;HOUSE;HOUSE;395000;residential_sale;2014;4;194;;FALSE;FALSE;TRUE;46;TRUE;306;3;FALSE;AS_NEW;B;506.182.024;45.156.891;;https://www.immoweb.be/en/classified/house/for-sale/genappe%20bousval/1470/11156771
11156770;;;;4;Knokke;8300;FLANDERS;Brugge;West Flanders;APARTMENT;APARTMENT;699000;residential_sale;2009;2;95;HYPER_EQUIPPED;FALSE;FALSE;TRUE;;;;2;;AS_NEW;A;;;;https://www.immoweb.be/en/classified/apartment/for-sale/knokke/8300/11156770
11156769;Rue de Limauges;11A;;;Court-Saint-Etienne;1490;WALLONIE;Nivelles;Walloon Brabant;HOUSE;HOUSE;525000;residential_sale;2005;3;160;USA_INSTALLED;FALSE;FALSE;TRUE;50;TRUE;1696;4;FALSE;GOOD;D;506.497.929;45.358.145;;https://www.immoweb.be/en/classified/house/for-sale/court-saint-etienne/1490/11156769
11156768;Seringenstraat;12;;;Kraainem;1950;FLANDERS;Halle-Vilvoorde;Flemish Brabant;HOUSE;TOWN_HOUSE;598000;residential_sale;1982;3;160;USA_HYPER_EQUIPPED;;FALSE;TRUE;28;TRUE;210;2;;GOOD;B;5.084.767;44.642.208;;https://www.immoweb.be/en/classified/town-house/for-sale/kraainem/1950/11156768
11156767;Mathilde Popeleu-erf;15;0.1;0;Halle;1500;FLANDERS;Halle-Vilvoorde;Flemish Brabant;APARTMENT;GROUND_FLOOR;255000;residential_sale;2024;1;86;USA_HYPER_EQUIPPED;;FALSE;TRUE;18;;;2;;;A;507.285.904;42.263.319;;https://www.immoweb.be/en/classified/ground-floor/for-sale/halle/1500/11156767
11156765;;;;;Braine-l'Alleud;1420;WALLONIE;Nivelles;Walloon Brabant;HOUSE;HOUSE;360000;residential_sale;1970;3;145;SEMI_EQUIPPED;;FALSE;TRUE;20;TRUE;184;2;;TO_BE_DONE_UP;C;;;;https://www.immoweb.be/en/classified/house/for-sale/braine-l%27alleud/1420/11156765
10985378;;;;;Courcelles;6180;WALLONIE;Charleroi;Hainaut;HOUSE;HOUSE;140000;residential_sale;;3;100;INSTALLED;FALSE;FALSE;;;TRUE;257;3;FALSE;GOOD;C;;;;https://www.immoweb.be/en/classified/house/for-sale/courcelles/6180/10985378
11156764;;;;0;Fosses-la-Ville;5070;WALLONIE;Namur;Namur;APARTMENT;APARTMENT;332500;residential_sale;2024;2;116;INSTALLED;;FALSE;TRUE;17;;;2;;AS_NEW;A;;;;https://www.immoweb.be/en/classified/apartment/for-sale/fosses-la-ville/5070/11156764
11156763;;;;0;Fosses-la-Ville;5070;WALLONIE;Namur;Namur;APARTMENT;GROUND_FLOOR;222000;residential_sale;2024;1;65;INSTALLED;;FALSE;TRUE;12;;;2;;AS_NEW;A;;;;https://www.immoweb.be/en/classified/ground-floor/for-sale/fosses-la-ville/5070/11156763
11156762;Vaaltweg;4;;;Herent;3020;FLANDERS;Leuven;Flemish Brabant;HOUSE;VILLA;745000;residential_sale;1967;5;246;SEMI_EQUIPPED;FALSE;FALSE;TRUE;;;1530;4;FALSE;TO_RENOVATE;F;509.001.239;4.685.671;;https://www.immoweb.be/en/classified/villa/for-sale/herent/3020/11156762
11156758;Rue Berckmans;84;;0;Saint-Gilles;1060;BRUSSELS;Brussels;Brussels;APARTMENT;GROUND_FLOOR;490000;residential_sale;;2;100;USA_HYPER_EQUIPPED;FALSE;FALSE;TRUE;;TRUE;;;FALSE;GOOD;D;50.831.897;43.527.199;;https://www.immoweb.be/en/classified/ground-floor/for-sale/saint-gilles/1060/11156758
11156748;;;;2;Rixensart;1330;WALLONIE;Nivelles;Walloon Brabant;APARTMENT;APARTMENT;350000;residential_sale;1965;2;104;INSTALLED;FALSE;FALSE;TRUE;10;;;3;;AS_NEW;C;;;;https://www.immoweb.be/en/classified/apartment/for-sale/rixensart/1330/11156748
11156743;;;;;Bomal (Ramillies);1367;WALLONIE;Nivelles;Walloon Brabant;HOUSE_GROUP;HOUSE_GROUP;;group_sale;;;;;;FALSE;;;;;;;;;;;;https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/bomal%20%28ramillies%29/1367/11156743
11156740;;;;;Perwez;1360;WALLONIE;Nivelles;Walloon Brabant;HOUSE;HOUSE;460000;residential_sale;;3;147;;;FALSE;TRUE;;;321;3;;AS_NEW;;;;;https://www.immoweb.be/en/classified/house/for-sale/perwez/1360/11156740
11156725;Avenue Wilmart;;;;Perwez;1360;WALLONIE;Nivelles;Walloon Brabant;HOUSE_GROUP;HOUSE_GROUP;;group_sale;;;;;;FALSE;;;;;;;;;506.261.698;482.656;;https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/perwez/1360/11156725
11156722;;;;;Lincent;4287;WALLONIE;Waremme;Liège;HOUSE;HOUSE;399000;residential_sale;1874;5;198;HYPER_EQUIPPED;FALSE;FALSE;TRUE;;;1145;4;FALSE;AS_NEW;C;;;;https://www.immoweb.be/en/classified/house/for-sale/lincent/4287/11156722
11156721;;;;;Grez-Doiceau;1390;WALLONIE;Nivelles;Walloon Brabant;HOUSE;HOUSE;399000;residential_sale;;3;150;INSTALLED;FALSE;FALSE;TRUE;;TRUE;185;3;FALSE;GOOD;C;;;;https://www.immoweb.be/en/classified/house/for-sale/grez-doiceau/1390/11156721
11156720;;;;;Saint-Gilles;1060;BRUSSELS;Brussels;Brussels;HOUSE;APARTMENT_BLOCK;1395000;residential_sale;1920;0;400;;FALSE;FALSE;TRUE;;;0;2;;;E;;;;https://www.immoweb.be/en/classified/apartment-block/for-sale/saint-gilles/1060/11156720
11156719;;;;;Brasschaat;2930;FLANDERS;Antwerp;Antwerp;HOUSE;VILLA;1215000;residential_sale;2024;4;285;HYPER_EQUIPPED;FALSE;FALSE;TRUE;;;1009;4;FALSE;AS_NEW;;;;;https://www.immoweb.be/en/classified/villa/for-sale/brasschaat/2930/11156719
11156718;;;;;Brasschaat;2930;FLANDERS;Antwerp;Antwerp;HOUSE;VILLA;1175000;residential_sale;2024;4;290;HYPER_EQUIPPED;FALSE;FALSE;TRUE;;;763;4;FALSE;AS_NEW;;;;;https://www.immoweb.be/en/classified/villa/for-sale/brasschaat/2930/11156718
11156717;;;;;Brasschaat;2930;FLANDERS;Antwerp;Antwerp;HOUSE;VILLA;1190000;residential_sale;2024;4;289;HYPER_EQUIPPED;FALSE;FALSE;TRUE;;;937;4;FALSE;AS_NEW;;;;;https://www.immoweb.be/en/classified/villa/for-sale/brasschaat/2930/11156717
11156716;;;;;Brasschaat;2930;FLANDERS;Antwerp;Antwerp;HOUSE;VILLA;1225000;residential_sale;2024;4;303;HYPER_EQUIPPED;FALSE;FALSE;TRUE;;;1114;4;FALSE;AS_NEW;;;;;https://www.immoweb.be/en/classified/villa/for-sale/brasschaat/2930/11156716
10768976;;;;;Brasschaat;2930;FLANDERS;Antwerp;Antwerp;HOUSE;VILLA;1298000;residential_sale;1953;4;284;USA_HYPER_EQUIPPED;FALSE;FALSE;TRUE;;TRUE;1880;4;FALSE;AS_NEW;C;;;;https://www.immoweb.be/en/classified/villa/for-sale/brasschaat/2930/10768976
11156715;;;;18;Antwerp;2000;FLANDERS;Antwerp;Antwerp;APARTMENT;APARTMENT;430000;residential_sale;2020;2;60;USA_HYPER_EQUIPPED;;FALSE;TRUE;;;;;;;A;;;;https://www.immoweb.be/en/classified/apartment/for-sale/antwerp/2000/11156715
11156711;Marsstraat;44;;;Antwerpen Berchem;2600;FLANDERS;Antwerp;Antwerp;HOUSE;APARTMENT_BLOCK;595000;residential_sale;1959;4;270;HYPER_EQUIPPED;;FALSE;TRUE;50;;100;3;FALSE;GOOD;B;512.017.092;44.417.645;;https://www.immoweb.be/en/classified/apartment-block/for-sale/antwerpen%20berchem/2600/11156711
11156710;Italielei;213;;7;Antwerp;2000;FLANDERS;Antwerp;Antwerp;APARTMENT;APARTMENT;395000;residential_sale;;4;150;HYPER_EQUIPPED;;FALSE;TRUE;;;;2;FALSE;GOOD;B;512.213.438;44.169.946;;https://www.immoweb.be/en/classified/apartment/for-sale/antwerp/2000/11156710
11156709;Italiëlei;99;;8;Antwerp;2000;FLANDERS;Antwerp;Antwerp;APARTMENT;APARTMENT;419000;residential_sale;1962;3;137;HYPER_EQUIPPED;;FALSE;TRUE;8;;;4;FALSE;AS_NEW;D;512.260.799;44.153.595;;https://www.immoweb.be/en/classified/apartment/for-sale/antwerp/2000/11156709
11156708;Populierenlaan;24;;;Aartselaar;2630;FLANDERS;Antwerp;Antwerp;HOUSE;HOUSE;399000;residential_sale;1972;3;160;HYPER_EQUIPPED;;FALSE;TRUE;12;TRUE;290;3;FALSE;GOOD;C;511.144.091;43.755.498;;https://www.immoweb.be/en/classified/house/for-sale/aartselaar/2630/11156708
